PICP,PINAW,CWC,Winkler_Score,reduction,image_type,point_method,interval_method,nominal_level,method,path
0.542,0.173,109.63,2.191,PCA,ms,Ridge,SC,80,SC_Ridge,dhs_ooc/PCA_099/resnet_ms_pca099/SC_Ridge/80
0.78,0.06,0.159,0.429,PCA,ms,RF,SC,80,SC_RF,dhs_ooc/PCA_099/resnet_ms_pca099/SC_RF/80
0.533,0.169,134.076,2.17,PCA,ms,XGBoost,SC,80,SC_XGBoost,dhs_ooc/PCA_099/resnet_ms_pca099/SC_XGBoost/80
0.585,0.177,38.398,1.902,PCA,nl,Ridge,SC,80,SC_Ridge,dhs_ooc/PCA_099/resnet_nl_pca099/SC_Ridge/80
0.79,0.04,0.091,0.348,PCA,nl,RF,SC,80,SC_RF,dhs_ooc/PCA_099/resnet_nl_pca099/SC_RF/80
0.572,0.169,50.678,1.878,PCA,nl,XGBoost,SC,80,SC_XGBoost,dhs_ooc/PCA_099/resnet_nl_pca099/SC_XGBoost/80
0.555,0.162,74.219,1.938,PCA,msnl,Ridge,SC,80,SC_Ridge,dhs_ooc/PCA_099/resnet_msnl_pca099/SC_Ridge/80
0.792,0.037,0.082,0.261,PCA,msnl,RF,SC,80,SC_RF,dhs_ooc/PCA_099/resnet_msnl_pca099/SC_RF/80
0.552,0.159,78.506,1.921,PCA,msnl,XGBoost,SC,80,SC_XGBoost,dhs_ooc/PCA_099/resnet_msnl_pca099/SC_XGBoost/80
0.744,0.278,1.405,1.876,PCA,ms,Ridge,J_aB,80,J_aB_Ridge,dhs_ooc/PCA_099/resnet_ms_pca099/J_aB_Ridge/80
0.755,0.29,1.183,1.912,PCA,ms,RF,J_aB,80,J_aB_RF,dhs_ooc/PCA_099/resnet_ms_pca099/J_aB_RF/80
0.745,0.278,1.378,1.887,PCA,ms,XGBoost,J_aB,80,J_aB_XGBoost,dhs_ooc/PCA_099/resnet_ms_pca099/J_aB_XGBoost/80
0.787,0.281,0.67,1.691,PCA,nl,Ridge,J_aB,80,J_aB_Ridge,dhs_ooc/PCA_099/resnet_nl_pca099/J_aB_Ridge/80
0.791,0.297,0.669,1.776,PCA,nl,RF,J_aB,80,J_aB_RF,dhs_ooc/PCA_099/resnet_nl_pca099/J_aB_RF/80
0.789,0.281,0.651,1.694,PCA,nl,XGBoost,J_aB,80,J_aB_XGBoost,dhs_ooc/PCA_099/resnet_nl_pca099/J_aB_XGBoost/80
0.763,0.259,0.912,1.678,PCA,msnl,Ridge,J_aB,80,J_aB_Ridge,dhs_ooc/PCA_099/resnet_msnl_pca099/J_aB_Ridge/80
0.764,0.267,0.924,1.714,PCA,msnl,RF,J_aB,80,J_aB_RF,dhs_ooc/PCA_099/resnet_msnl_pca099/J_aB_RF/80
0.76,0.258,0.959,1.689,PCA,msnl,XGBoost,J_aB,80,J_aB_XGBoost,dhs_ooc/PCA_099/resnet_msnl_pca099/J_aB_XGBoost/80
0.766,0.285,0.952,1.774,PCA,ms,NGBoost,NGB,80,NGBoost,dhs_ooc/PCA_099/resnet_ms_pca099/NGB/NGBoost/80
0.797,0.282,0.586,1.617,PCA,nl,NGBoost,NGB,80,NGBoost,dhs_ooc/PCA_099/resnet_nl_pca099/NGB/NGBoost/80
0.774,0.265,0.773,1.616,PCA,msnl,NGBoost,NGB,80,NGBoost,dhs_ooc/PCA_099/resnet_msnl_pca099/NGB/NGBoost/80
